Rk,Player,Age,Team,Pos,G,FG%,3P,ORB,DRB,TRB,AST,STL,BLK,PTS,Awards,Player-additional
133,Moses Moody,22,GSW,SG,74,.433,1.7,0.7,1.9,2.6,1.3,0.8,0.4,9.8,,moodymo01
134,Amir Coffey,27,LAC,SG,72,.471,1.4,0.4,1.8,2.2,1.1,0.6,0.1,9.7,,coffeam01
135,Max Christie,21,2TM,SG,78,.427,1.5,0.5,2.8,3.3,1.9,0.8,0.4,9.6,,chrisma02
136,Kyle Filipowski,21,UTA,C,72,.502,1.1,1.6,4.6,6.1,1.9,0.7,0.3,9.6,,filipky01
137,Miles McBride,24,NYK,PG,64,.406,1.8,0.7,1.8,2.5,2.9,1.0,0.3,9.5,,mcbrimi01
138,Jalen Wilson,24,BRK,PF,79,.397,1.5,0.9,2.5,3.4,1.8,0.5,0.1,9.5,,wilsoja03
139,Anthony Black,21,ORL,PG,78,.423,0.8,0.7,2.3,2.9,3.1,1.1,0.6,9.4,,blackan01
140,Nickeil Alexander-Walker,26,MIN,SG,82,.438,1.7,0.7,2.6,3.2,2.7,0.6,0.4,9.4,6MOY-6,alexani01
141,Cole Anthony,24,ORL,PG,67,.424,1.1,0.7,2.4,3.0,2.9,0.7,0.5,9.4,,anthoco01
142,Kel'el Ware,20,MIA,C,64,.554,0.5,1.8,5.6,7.4,0.9,0.6,1.1,9.3,ROY-6,wareke01
143,Zach Edey,22,MEM,C,66,.580,0.3,3.5,4.8,8.3,1.0,0.5,1.3,9.2,ROY-5,edeyza01
144,T.J. McConnell,32,IND,PG,79,.519,0.2,0.6,1.9,2.4,4.4,1.1,0.3,9.1,,mccontj01
145,Yves Missi,20,NOP,C,73,.547,0.0,3.5,4.7,8.2,1.4,0.5,1.3,9.1,,missiyv01
146,Wendell Carter Jr.,25,ORL,C,68,.460,0.5,2.2,5.0,7.2,2.0,0.8,0.6,9.1,,cartewe01
147,Royce O'Neale,31,PHO,SF,75,.423,2.4,0.7,3.9,4.7,2.2,0.9,0.5,9.1,,onealro01
148,Dalton Knecht,23,LAL,SF,78,.461,1.6,0.5,2.3,2.8,0.8,0.3,0.1,9.1,,knechda01
149,Julian Strawther,22,DEN,SG,65,.432,1.4,0.3,1.9,2.2,1.3,0.6,0.2,9.0,,strawju01
150,Jared Butler,24,2TM,SG,60,.448,1.0,0.4,1.4,1.8,3.7,0.7,0.2,9.0,,butleja02
151,Draymond Green,34,GSW,PF,68,.424,1.2,1.1,5.0,6.1,5.6,1.5,1.0,9.0,DPOY-3DEF1,greendr01
152,Patrick Williams,23,CHI,PF,63,.397,1.5,0.7,3.1,3.8,2.0,0.8,0.5,9.0,,willipa01
153,Al Horford,38,BOS,C,60,.423,1.9,1.3,4.8,6.2,2.1,0.6,0.9,9.0,,horfoal01
154,Johnny Juzang,23,UTA,SG,64,.429,1.8,0.7,2.2,2.9,1.1,0.6,0.1,8.9,,juzanjo01
155,Luke Kennard,28,MEM,SG,65,.478,1.7,0.6,2.2,2.8,3.3,0.8,0.1,8.9,,kennalu01
156,Chris Paul,39,SAS,PG,82,.427,1.7,0.4,3.2,3.6,7.4,1.3,0.3,8.8,,paulch01
157,Justin Champagnie,23,WAS,SF,62,.511,1.2,1.8,3.9,5.7,1.0,1.0,0.6,8.8,,champju01
158,Kentavious Caldwell-Pope,31,ORL,SG,77,.439,1.5,0.4,1.8,2.2,1.8,1.3,0.4,8.7,,caldwke01
159,Tyrese Martin,25,BRK,SG,60,.406,1.7,1.0,2.7,3.7,2.0,0.6,0.2,8.7,,martity01
160,Dorian Finney-Smith,31,2TM,PF,63,.448,2.0,1.3,2.7,3.9,1.4,0.9,0.4,8.7,,finnedo01
161,Kyshawn George,21,WAS,SG,68,.372,1.7,0.7,3.5,4.2,2.5,1.0,0.7,8.7,,georgky01
162,Isaiah Collier,20,UTA,PG,71,.422,0.6,0.5,2.9,3.3,6.3,0.9,0.2,8.7,,colliis01
163,Jaime Jaquez Jr.,23,MIA,SF,66,.461,0.6,1.3,3.1,4.4,2.5,0.9,0.2,8.6,,jaqueja01
164,Matas Buzelis,20,CHI,SF,80,.454,1.2,0.7,2.8,3.5,1.0,0.4,0.9,8.6,ROY-7,buzelma01
165,Sam Hauser,27,BOS,PF,71,.451,2.3,0.6,2.5,3.2,0.9,0.6,0.2,8.5,,hausesa01
166,Cason Wallace,21,OKC,SG,68,.474,1.1,1.0,2.3,3.4,2.5,1.8,0.5,8.4,,wallaca01
167,Brandon Clarke,28,MEM,PF,64,.621,0.0,2.0,3.1,5.1,1.0,0.8,0.6,8.3,,clarkbr01
168,Dalano Banton,25,POR,PG,67,.391,1.1,0.4,1.6,2.0,2.4,0.6,0.5,8.3,,bantoda01
169,Keon Ellis,25,SAC,SG,80,.489,1.7,0.8,1.9,2.7,1.5,1.5,0.8,8.3,,elliske01
170,Taurean Prince,30,MIL,SF,80,.457,1.8,0.4,3.2,3.6,1.9,1.0,0.2,8.2,,princta02
171,Mike Conley,37,MIN,PG,71,.400,1.8,0.5,2.1,2.6,4.5,1.1,0.2,8.2,,conlemi01
172,Jalen Smith,24,CHI,C,64,.466,1.1,1.4,4.2,5.6,1.0,0.3,0.7,8.2,,smithja04
173,Peyton Watson,22,DEN,SF,68,.477,0.7,0.7,2.7,3.4,1.4,0.7,1.4,8.1,,watsope01
174,Davion Mitchell,26,2TM,PG,74,.468,1.1,0.5,1.8,2.3,4.9,1.0,0.2,7.9,,mitchda01
175,Terance Mann,28,2TM,SG,67,.496,0.9,1.0,2.0,3.0,1.8,0.7,0.2,7.7,,mannte01
176,Josh Green,24,CHO,SG,68,.428,1.4,0.8,1.7,2.5,1.6,1.1,0.2,7.4,,greenjo02
177,A.J. Green,25,MIL,SG,73,.429,2.1,0.2,2.1,2.4,1.5,0.5,0.1,7.4,,greenaj01
178,Ricky Council IV,23,PHI,SF,73,.382,0.8,0.7,2.2,2.9,1.3,0.4,0.2,7.3,,councri01
179,Tristan Da Silva,23,ORL,SF,74,.412,1.1,1.0,2.3,3.3,1.5,0.4,0.2,7.2,,dasiltr01
180,Goga Bitadze,25,ORL,C,70,.611,0.0,2.4,4.2,6.6,2.0,0.7,1.4,7.2,,bitadgo01
181,Sam Merrill,28,CLE,SG,71,.406,1.9,0.5,1.7,2.2,1.5,0.7,0.2,7.2,,merrisa01
182,Jamal Shead,22,TOR,PG,75,.405,1.0,0.4,1.1,1.5,4.2,0.8,0.1,7.1,,sheadja01
183,Jamison Battle,23,TOR,SF,59,.429,1.8,0.6,2.1,2.7,0.9,0.3,0.2,7.1,,battlja01
184,Cameron Payne,30,NYK,PG,72,.401,1.3,0.2,1.3,1.4,2.8,0.5,0.2,6.9,,payneca01
185,Jake LaRavia,23,2TM,PF,66,.475,0.9,1.4,2.6,3.9,2.4,0.9,0.3,6.9,,laravja01
186,Ryan Dunn,22,PHO,SF,74,.430,1.1,1.2,2.4,3.6,0.8,0.6,0.5,6.9,,dunnry01
187,Jay Huff,26,MEM,C,64,.515,1.3,0.5,1.5,2.0,0.6,0.3,0.9,6.9,,huffja01
188,Trayce Jackson-Davis,24,GSW,C,62,.576,0.0,2.0,3.0,5.0,1.7,0.4,0.6,6.6,,jackstr02
189,Trey Lyles,29,SAC,PF,69,.420,1.2,1.2,3.4,4.6,1.2,0.6,0.3,6.5,,lylestr01
190,Talen Horton-Tucker,24,CHI,SG,58,.457,0.7,0.3,1.4,1.7,1.4,0.4,0.2,6.5,,hortota01
191,Seth Curry,34,CHO,SG,68,.478,1.2,0.4,1.3,1.7,0.9,0.4,0.1,6.5,,curryse01
192,Donovan Clingan,20,POR,C,67,.539,0.2,3.2,4.6,7.9,1.1,0.5,1.6,6.5,,clingdo01
193,Thomas Bryant,27,2TM,C,66,.508,0.7,1.3,2.5,3.8,0.8,0.4,0.6,6.5,,bryanth01
