Rk,Player,Age,Team,Pos,G,FG%,3P,ORB,DRB,TRB,AST,STL,BLK,PTS,Awards,Player-additional
56,Derrick White,30,BOS,SG,76,.442,3.5,0.9,3.6,4.5,4.8,0.9,1.1,16.4,DPOY-10,whitede01
57,Malik Beasley,28,DET,SG,82,.430,3.9,0.6,2.0,2.6,1.7,0.9,0.1,16.3,6MOY-2,beaslma01
58,Devin Vassell,24,SAS,SG,64,.443,2.5,0.5,3.5,4.0,2.9,1.3,0.5,16.3,,vassede01
59,Bennedict Mathurin,22,IND,SF,72,.458,1.4,1.2,4.1,5.3,1.9,0.7,0.3,16.1,,mathube01
60,Myles Turner,28,IND,C,72,.481,2.2,1.3,5.3,6.5,1.5,0.8,2.0,15.6,,turnemy01
61,Christian Braun,23,DEN,SG,79,.580,1.1,1.2,3.9,5.2,2.6,1.1,0.5,15.4,,braunch01
62,Kelly Oubre Jr.,29,PHI,SF,60,.470,1.2,1.6,4.5,6.1,1.8,1.5,0.5,15.1,,oubreke01
63,Kyle Kuzma,29,2TM,PF,65,.436,1.5,0.8,4.9,5.7,2.3,0.6,0.3,14.8,,kuzmaky01
64,Stephon Castle,20,SAS,PG,81,.428,1.2,1.1,2.6,3.7,4.1,0.9,0.3,14.7,ROY-1,castlst01
65,Josh Giddey,22,CHI,PG,70,.465,1.5,1.8,6.3,8.1,7.2,1.2,0.6,14.6,,giddejo01
66,Quentin Grimes,24,2TM,SG,75,.467,2.2,0.8,3.5,4.3,3.0,1.0,0.3,14.6,,grimequ01
67,Payton Pritchard,27,BOS,PG,80,.472,3.2,1.3,2.6,3.8,3.5,0.9,0.2,14.3,6MOY-1,pritcpa01
68,Naz Reid,25,MIN,C,80,.462,2.2,1.2,4.9,6.0,2.3,0.7,0.9,14.2,6MOY-5,reidna01
69,Dyson Daniels,21,ATL,SG,76,.493,1.1,1.6,4.3,5.9,4.4,3.0,0.7,14.1,DPOY-2MIP-1DEF1,daniedy01
70,Fred VanVleet,30,HOU,PG,60,.378,2.7,0.5,3.2,3.7,5.6,1.6,0.4,14.1,,vanvlfr01
71,Amen Thompson,22,HOU,SF,69,.557,0.4,2.8,5.4,8.2,3.8,1.4,1.3,14.1,DPOY-5DEF1,thompam01
72,Dillon Brooks,29,HOU,SF,75,.429,2.5,1.0,2.7,3.7,1.7,0.8,0.2,14.0,,brookdi01
73,Klay Thompson,34,DAL,SF,72,.412,3.0,0.6,2.8,3.4,2.0,0.7,0.4,14.0,,thompkl01
74,Tobias Harris,32,DET,PF,73,.477,1.2,0.9,5.0,5.9,2.2,1.0,0.8,13.7,,harrito02
75,Josh Hart,29,NYK,SG,77,.525,1.1,2.1,7.5,9.6,5.9,1.5,0.4,13.6,,hartjo01
76,Jarrett Allen,26,CLE,C,82,.706,0.0,2.6,7.1,9.7,1.9,0.9,0.9,13.5,,allenja01
77,Onyeka Okongwu,24,ATL,C,74,.567,0.6,3.0,5.9,8.9,2.3,0.9,0.9,13.4,,okongon01
78,Russell Westbrook,36,DEN,PG,75,.449,1.3,1.4,3.6,4.9,6.1,1.4,0.5,13.3,6MOY-7,westbru01
79,Naji Marshall,27,DAL,SF,69,.508,0.9,1.1,3.7,4.8,3.0,1.0,0.2,13.2,,marshna01
80,Rui Hachimura,26,LAL,PF,59,.509,1.7,1.3,3.7,5.0,1.4,0.8,0.4,13.1,,hachiru01
81,Dennis Schröder,31,3TM,PG,75,.406,1.7,0.4,2.3,2.6,5.4,0.9,0.2,13.1,,schrode01
82,Brook Lopez,36,MIL,C,80,.509,1.7,1.4,3.6,5.0,1.8,0.6,1.9,13.0,,lopezbr01
83,Alex Sarr,19,WAS,C,67,.394,1.6,1.9,4.6,6.5,2.4,0.7,1.5,13.0,ROY-4,sarral01
84,Keldon Johnson,25,SAS,SF,77,.482,1.1,1.5,3.4,4.8,1.6,0.6,0.3,12.7,,johnske04
