GAME_ID,COUNT
0022401166,2
0022401164,0
0022401157,0
0022401156,0
0022401160,1
0022401165,1
0022401158,0
0022401159,1
0022401163,0
0022401162,1
0022401149,1
0022401151,0
0022401153,1
0022401147,0
0022401152,1
0022401146,0
0022401154,0
0022401155,0
0022401150,0
0022401148,0
0022401144,1
0022401145,0
0022400617,0
0022401139,0
0022401133,0
0022401137,0
0022401134,0
0022401136,0
0022401135,0
0022401138,0
0022401143,0
0022401140,1
0022401142,1
0022401129,1
0022401128,0
0022401132,0
0022401130,0
0022401131,1
0022401123,0
0022401125,0
0022401120,0
0022401124,0
0022401122,0
0022401119,0
0022401121,0
0022401127,0
0022401118,0
0022401126,0
0022401117,0
0022401116,0
0022401113,0
0022401112,1
0022401114,0
0022401115,1
0022401110,0
0022401111,0
0022401106,0
0022401108,0
0022401107,0
0022401103,0
0022401104,0
0022401105,0
0022401109,1
0022401099,0
0022401100,1
0022401097,1
0022400988,0
0022401101,2
0022401102,1
0022401098,0
0022401090,0
0022401095,0
0022401089,0
0022401096,0
0022401093,0
0022401094,0
0022401092,0
0022401091,1
0022401082,0
0022401081,0
0022401088,0
0022401086,0
0022401085,0
0022401087,0
0022401084,1
0022401083,1
0022401077,0
0022401075,0
0022401080,0
0022401076,0
0022401079,0
0022401078,0
0022401074,0
0022401069,0
0022401067,0
0022401070,0
0022401072,0
0022401071,0
0022401068,0
0022401073,0
0022401059,0
0022401065,0
0022401060,0
0022401063,1
0022401066,1
0022401062,0
0022401061,0
0022401064,0
0022401053,0
0022401055,1
0022401057,1
0022401058,0
0022401054,0
0022401056,0
0022401045,0
0022401047,0
0022401049,0
0022401048,1
0022401051,0
0022401050,0
0022401052,0
0022401046,0
0022401037,0
0022401040,0
0022401038,0
0022401039,0
0022401043,0
0022401042,0
0022401041,0
0022401044,0
0022401032,1
0022401029,1
0022401030,0
0022401031,0
0022401036,0
0022401033,0
0022401035,0
0022401034,0
0022401025,0
0022401027,1
0022401024,0
0022401026,0
0022401028,1
0022401016,0
0022401014,0
0022401019,0
0022401022,0
0022401017,0
0022401023,0
0022401020,0
0022401021,1
0022401015,1
0022401018,0
0022400996,0
0022401011,0
0022401010,0
0022401005,0
0022401013,0
0022401003,0
0022401001,0
0022401009,0
0022400999,0
0022400998,0
0022401002,0
0022400627,0
0022401000,1
0022401008,1
0022401006,0
0022401007,1
0022400994,0
0022400997,0
0022400993,0
0022401012,0
0022400986,0
0022400992,1
0022400990,0
0022400987,0
0022400537,0
0022400985,2
0022400984,0
0022400991,0
0022400989,0
0022400995,0
0022400977,0
0022400980,1
0022400978,0
0022400976,0
0022400538,0
0022400981,1
0022400979,0
0022400982,1
0022400975,1
0022400968,0
0022400969,1
0022400971,0
0022400973,0
0022400972,0
0022400974,0
0022400970,0
0022400965,1
0022400962,1
0022400960,0
0022400966,0
0022400958,0
0022400963,1
0022400964,0
0022400961,0
0022400959,0
0022400967,0
0022400955,1
0022400954,1
0022400956,0
0022400957,0
0022401141,0
0022400952,0
0022400948,0
0022400950,0
0022400953,0
0022400947,0
0022400949,0
0022400951,1
0022400945,1
0022400946,0
0022400943,1
0022400940,0
0022400942,0
0022400941,0
0022400928,0
0022400931,0
0022400932,0
0022400929,0
0022400934,0
0022400933,0
0022400935,0
0022400937,0
0022400938,1
0022400936,1
0022400930,1
0022400939,0
0022400923,0
0022400925,0
0022400922,0
0022400927,1
0022400920,1
0022400926,0
0022400924,0
0022400921,1
0022400914,0
0022400916,1
0022400915,0
0022400918,1
0022400917,0
0022400919,0
0022400913,0
0022400912,0
0022400908,0
0022400909,1
0022400904,1
0022400907,0
0022400905,1
0022400910,0
0022400906,0
0022400911,0
0022400944,1
0022400900,0
0022400902,0
0022400899,0
0022400901,1
0022400903,2
0022400892,0
0022400891,2
0022400898,2
0022400894,0
0022400897,1
0022400895,1
0022400896,0
0022400893,0
0022400887,0
0022400885,0
0022400886,0
0022400888,0
0022400883,1
0022400889,0
0022400882,0
0022400884,1
0022400890,1
0022400880,0
0022400876,0
0022400875,0
0022400881,0
