Season,Date,Score,Excitment,Tension,Comeback,MVP,LVP
2023,2024-04-12,"CHA 98, BOS 131",2.6,43.1,1.2,P. Pritchard: +9.4%,V. Mici?: -5.6%
2023,2024-04-14,"CHI 119, NYK 120",12.4,93.0,6.6,A. Caruso: +35.9%,D. DeRozan: -25.3%
2023,2024-04-14,"UTA 116, GSW 123",8.8,87.4,2.0,K. Thompson: +26.4%,B. Sensabaugh: -38.4%
2023,2024-04-14,"HOU 116, LAC 105",8.4,85.6,1.9,T. Mann: +24.8%,M. Plumlee: -17.7%
2023,2024-04-14,"CHA 120, CLE 110",7.4,84.9,15.9,J. Thor: +25.4%,E. Bates: -36.5%
2023,2024-04-14,"MIL 88, ORL 113",4.5,72.2,2.8,W. Carter Jr.: +11.9%,K. Middleton: -5.8%
2023,2024-04-14,"BKN 86, PHI 107",4.3,61.8,1.2,T. Harris: +14.7%,K. Lowry: -8.4%
2023,2024-04-14,"WAS 122, BOS 132",3.9,58.3,1.4,P. Pritchard: +31.7%,J. Walsh: -5.3%
2023,2024-04-14,"DEN 126, MEM 111",3.8,57.7,1.1,C. Braun: +9.4%,J. Goodwin: -14.1%
2023,2024-04-14,"PHX 125, MIN 106",3.4,48.5,1.0,B. Beal: +15.1%,J. McDaniels: -7.7%
2023,2024-04-14,"TOR 103, MIA 118",3.4,51.7,1.4,D. Wright: +8.4%,O. Agbaji: -8.7%
2023,2024-04-14,"ATL 115, IND 157",3.3,49.9,1.0,M. Turner: +23.4%,T. Young: -1.9%
2023,2024-04-14,"LAL 124, NOP 108",2.5,41.0,1.0,A. Reaves: +10.6%,Z. Williamson: -10.7%
2023,2024-04-14,"DET 95, SAS 123",2.4,41.6,1.3,D. Graham: +7.9%,C. Metu: -6.5%
2023,2024-04-14,"POR 82, SAC 121",2.0,34.6,1.1,K. Ellis: +6.7%,D. Banton: -11.3%
2023,2024-04-14,"DAL 86, OKC 135",1.8,29.7,1.0,C. Wallace: +7.4%,J. Hardy: -8.3%
